"MANDT","KURST","FCURR","TCURR","GDATU","FFACT","TFACT","ABWCT","ABWGA"
"812","M","GBP","FRF","81999898","1","1","","00000000"
"800","G","FIM","FIM","81999898","1","1","","00000000"
"000","M","FRF","NOK","80009898","1","1","EURX","00000000"
"811","M","PEN","CAD","81999898","1","1","","00000000"
"811","B","GBP","USD","81999898","1","1","","00000000"
"800","INT","CAD","MXN","81999898","1","100","","00000000"
"000","M","FRF","SEK","80009898","1","1","EURX","00000000"
"812","M","GBP","GRD","81999898","1","1","","00000000"
"811","M","PEN","CLP","81999898","1","1","","00000000"
"800","G","FRF","DEM","81999898","1","1","","00000000"
"811","B","ITL","USD","81999898","1","1","","00000000"
"000","M","GBP","ATS","80009898","1","1","EURX","00000000"
"800","INT","CAD","SFR","81999898","1","1","","00000000"
"811","M","PEN","COP","81999898","1","1","","00000000"
"000","M","GBP","GRD","79989898","1","1","EURX","00000000"
"812","M","GBP","IEP","81999898","1","1","","00000000"
"800","G","FRF","EUR","81999898","1","1","","00000000"
"811","M","PEN","MXN","81999898","1","1","","00000000"
"811","B","JPY","USD","81999898","100","1","","00000000"
"000","M","GBP","IEP","80009898","1","1","EURX","00000000"
"800","INT","CHF","CHF","81999898","1","1","","00000000"
"811","M","PEN","VEB","81999898","1","1","","00000000"
"812","M","GBP","ITL","81999898","1","1","","00000000"
"000","M","GRD","ATS","79989898","100","1","EURO","00000000"
"800","G","FRF","FRF","81999898","1","1","","00000000"
"811","B","MXP","USD","81999898","1","1","","00000000"
"811","M","PKT","DEM","81999898","1","1","","00000000"
"000","M","GRD","ATS","80009898","100","1","EURX","00000000"
"811","M","PTE","AUD","81999898","1","1","","00000000"
"001","EURO","LUF","ATS","81999898","100","1","","00000000"
"812","M","GBP","NLG","81999898","1","1","","00000000"
"811","B","PTE","USD","81999898","1","1","","00000000"
"800","G","ITL","DEM","81999898","1000","1","","00000000"
"000","M","GRD","CHF","79989898","100","1","EURX","00000000"
"811","M","PTE","ESP","81999898","1","1","","00000000"
"001","EURO","LUF","BEF","81999898","1","1","","00000000"
"812","M","GBP","NOK","81999898","1","1","","00000000"
"800","INT","DEM","AUD","81999898","1","100","","00000000"
"811","B","RUB","USD","81999898","1","1","","00000000"
"811","M","PTE","PTE","81999898","1","1","","00000000"
"000","M","GRD","DKK","79989898","100","1","EURX","00000000"
"800","G","ITL","EUR","81999898","1000","1","","00000000"
"001","EURO","LUF","ESP","81999898","1","1","","00000000"
"811","M","RUB","RUB","81999898","1","1","","00000000"
"000","M","GRD","GBP","79989898","1","1","EURX","00000000"
"001","EURO","LUF","FIM","81999898","1","1","","00000000"
"812","M","GBP","PTE","81999898","1","1","","00000000"
"811","B","RUR","USD","81999898","1","1","","00000000"
"800","INT","DEM","BEF","81999898","1","100","","00000000"
"800","G","JPY","DEM","81999898","100","1","","00000000"
"811","M","RUR","ATS","81999898","1","1","","00000000"
"000","M","GRD","IEP","79989898","1","1","EURO","00000000"
"001","EURO","LUF","GRD","81999898","1","1","","00000000"
"811","M","RUR","AUD","81999898","1","1","","00000000"
"811","B","SEK","USD","81999898","1","1","","00000000"
"000","M","GRD","IEP","80009898","1","1","EURX","00000000"
"800","INT","DEM","CAD","81999898","1","1","","00000000"
"812","M","GBP","SEK","81999898","1","1","","00000000"
"800","G","JPY","EUR","81999898","100","1","EURG","00000000"
"001","EURO","LUF","IEP","81999898","1","1","","00000000"
"811","M","RUR","BEF","81999898","1","1","","00000000"
"000","M","GRD","JPY","79989898","100","1","EURX","00000000"
"811","B","USD","USD","81999898","1","1","","00000000"
"811","M","RUR","CAD","81999898","1","1","","00000000"
"001","EURO","LUF","ITL","81999898","1","1","","00000000"
"812","M","GRD","ATS","81999898","1000","1","","00000000"
"800","G","NLG","DEM","81999898","1","1","","00000000"
"000","M","GRD","NOK","79989898","100","1","EURX","00000000"
"811","M","RUR","CHF","81999898","1","1","","00000000"
"800","INT","DEM","CHF","81999898","1","100","","00000000"
"001","EURO","LUF","NLG","81999898","100","1","","00000000"
"811","B","ZAR","USD","81999898","1","1","","00000000"
"811","M","RUR","CZK","81999898","1","1","","00000000"
"000","M","GRD","SEK","79989898","100","1","EURX","00000000"
"001","EURO","LUF","PTE","81999898","1","1","","00000000"
"812","M","GRD","BEF","81999898","1000","1","","00000000"
"800","G","NLG","EUR","81999898","1","1","","00000000"
"800","INT","DEM","CZK","81999898","1","1","","00000000"
"001","EURO","NLG","ATS","81999898","1","1","","00000000"
"811","M","RUR","DEM","81999898","1","1","","00000000"
"000","M","IEP","ATS","80009898","1","1","EURO","00000000"
"811","EURB","DEM","USD","81999898","1","1","","00000000"
"812","M","GRD","CHF","81999898","1000","1","","00000000"
"001","EURO","NLG","BEF","81999898","1","1","","00000000"
"800","G","NOK","DEM","81999898","1","1","","00000000"
"800","INT","DEM","DKK","81999898","1","1","","00000000"
"000","M","IEP","CHF","80009898","1","1","EURX","00000000"
"001","EURO","NLG","ESP","81999898","1","1","","00000000"
"812","M","GRD","DEM","81999898","1000","1","","00000000"
"000","M","IEP","DKK","80009898","1","1","EURX","00000000"
"811","EURB","EUR","USD","81999898","1","1","","00000000"
"800","G","NOK","EUR","81999898","1","1","","00000000"
"800","INT","DEM","ECU","81999898","1","1","","00000000"
"811","M","RUR","RUR","81999898","1","1","","00000000"
"001","EURO","NLG","FIM","81999898","1","1","","00000000"
"000","M","IEP","GBP","80009898","1","1","EURX","00000000"
"812","M","GRD","DKK","81999898","1000","1","","00000000"
"811","M","RUR","UAK","81999898","1","1","","00000000"
"001","EURO","NLG","GRD","81999898","1","1","","00000000"
"000","M","IEP","GRD","79989898","1","1","EURO","00000000"
"811","EURG","DEM","USD","81999898","1","1","","00000000"
"800","INT","DEM","GBP","81999898","1","1","","00000000"
"800","G","RUB","DEM","81999898","1","1","","00000000"
"811","M","SEK","ATS","81999898","1","1","","00000000"
"001","EURO","NLG","IEP","81999898","1","1","","00000000"
"812","M","GRD","ESP","81999898","1000","1","","00000000"
"000","M","IEP","GRD","80009898","1","1","EURX","00000000"
"811","EURG","EUR","USD","81999898","1","1","","00000000"
"811","M","SEK","BEF","81999898","1","1","","00000000"
"001","EURO","NLG","ITL","81999898","1","1","","00000000"
"800","G","RUB","EUR","81999898","1","1","","00000000"
"800","INT","DEM","IEP","81999898","1","100","","00000000"
"811","M","SEK","CHF","81999898","1","1","","00000000"
"811","EURX","DEM","USD","81999898","1","1","","00000000"
"000","M","IEP","JPY","80009898","1","1","EURX","00000000"
"812","M","GRD","EUR","81999898","1000","1","","00000000"
"001","EURO","NLG","LUF","81999898","1","1","","00000000"
"811","M","SEK","DEM","81999898","1","1","","00000000"
"000","M","IEP","NOK","80009898","1","1","EURX","00000000"
"800","G","RUR","DEM","81999898","1","1","","00000000"
"811","EURX","ESP","USD","81999898","100","1","","00000000"
"800","INT","DEM","JPY","81999898","1","1","","00000000"
"001","EURO","NLG","PTE","81999898","1","1","","00000000"
"812","M","GRD","FIM","81999898","1000","1","","00000000"
"811","M","SEK","DKK","81999898","1","1","","00000000"
"000","M","IEP","SEK","80009898","1","1","EURX","00000000"
"001","EURO","PTE","ATS","81999898","100","1","","00000000"
"811","EURX","EUR","USD","81999898","1","1","","00000000"
"800","G","RUR","EUR","81999898","1","1","","00000000"
"812","M","GRD","FRF","81999898","1000","1","","00000000"
"800","INT","DEM","LUF","81999898","1","100","","00000000"
"000","M","ITL","ATS","80009898","100","1","EURO","00000000"
"811","M","SEK","ESP","81999898","1","1","","00000000"
"001","EURO","PTE","BEF","81999898","1","1","","00000000"
"811","EURX","FRF","USD","81999898","100","1","","00000000"
"000","M","ITL","CHF","80009898","100","1","EURX","00000000"
"001","EURO","PTE","ESP","81999898","1","1","","00000000"
"812","M","GRD","GBP","81999898","1000","1","","00000000"
"811","M","SEK","FIM","81999898","1","1","","00000000"
"800","G","SEK","DEM","81999898","1","1","","00000000"
"800","INT","DEM","MXN","81999898","1","100","","00000000"
"811","EURX","JPY","USD","81999898","100","1","","00000000"
"000","M","ITL","DKK","80009898","100","1","EURX","00000000"
"001","EURO","PTE","FIM","81999898","100","1","","00000000"
"811","M","SEK","FRF","81999898","1","1","","00000000"
"812","M","GRD","IEP","81999898","1000","1","","00000000"
"000","M","ITL","GBP","80009898","1","1","EURX","00000000"
"811","G","AUD","USD","81999898","1","1","","00000000"
"800","G","SEK","EUR","81999898","1","1","","00000000"
"800","INT","DEM","NLG","81999898","1","1","","00000000"
"001","EURO","PTE","GRD","81999898","1","1","","00000000"
"811","M","SEK","GBP","81999898","1","1","","00000000"
"811","G","CAD","USD","81999898","1","1","","00000000"
"000","M","ITL","GRD","79989898","1","1","EURO","00000000"
"001","EURO","PTE","IEP","81999898","1","1","","00000000"
"812","M","GRD","ITL","81999898","1","1","","00000000"
"811","M","SEK","IEP","81999898","1","1","","00000000"
"800","G","SEK","FIM","81999898","1","1","","00000000"
"800","INT","DEM","NOK","81999898","1","1","","00000000"
"811","G","CHF","USD","81999898","1","1","","00000000"
"000","M","ITL","GRD","80009898","1","1","EURX","00000000"
"001","EURO","PTE","ITL","81999898","1","1","","00000000"
"811","M","SEK","ITL","81999898","1","1","","00000000"
"000","M","NOK","LUF","80009898","1","1","EURX","00000000"
"812","M","GRD","JPY","81999898","1000","1","","00000000"
"811","G","DEM","USD","81999898","1","1","","00000000"
"800","G","SEK","FRF","81999898","1","1","","00000000"
"800","INT","DEM","RUB","81999898","1","1","","00000000"
"001","EURO","PTE","LUF","81999898","1","1","","00000000"
"000","M","ITL","IEP","80009898","1","1","EURO","00000000"
"811","M","SEK","NLG","81999898","1","1","","00000000"
"000","M","NOK","NLG","80009898","1","1","EURX","00000000"
"811","G","ECU","USD","81999898","1","1","","00000000"
"001","EURO","PTE","NLG","81999898","100","1","","00000000"
"812","M","GRD","NLG","81999898","1000","1","","00000000"
"000","M","ITL","JPY","80009898","100","1","EURX","00000000"
"811","M","SEK","PTE","81999898","1","1","","00000000"
"000","M","NOK","PTE","80009898","1","1","EURX","00000000"
"001","EURX","ATS","CHF","81999898","1","1","","00000000"
"811","G","EUR","USD","81999898","1","1","EURG","00000000"
"800","G","USD","ATS","81999898","1","1","","00000000"
"800","INT","DEM","RUR","81999898","1","1","","00000000"
"000","M","ITL","NOK","80009898","100","1","EURX","00000000"
"812","M","GRD","NOK","81999898","1000","1","","00000000"
"811","M","SEK","SEK","81999898","1","1","","00000000"
"000","M","NZD","DEM","80009898","1","1","EURX","00000000"
"811","G","FRF","USD","81999898","1","1","","00000000"
"001","EURX","ATS","DKK","81999898","1","1","","00000000"
"000","M","ITL","SEK","80009898","100","1","EURX","00000000"
"811","M","SGD","ATS","81999898","1","1","","00000000"
"812","M","GRD","PTE","81999898","1000","1","","00000000"
"800","INT","DEM","SEK","81999898","1","1","","00000000"
"800","G","USD","DEM","81999898","1","1","","00000000"
"001","EURX","ATS","GBP","81999898","1","1","","00000000"
"000","M","PEN","DEM","80009898","100","1","EURX","00000000"
"811","M","SGD","BEF","81999898","1","1","","00000000"
"000","M","JPY","ATS","80009898","100","1","EURX","00000000"
"811","G","GBP","USD","81999898","1","1","","00000000"
"812","M","GRD","SEK","81999898","1000","1","","00000000"
"800","G","USD","ESP","81999898","1","1","","00000000"
"800","INT","DEM","SGD","81999898","1","1","","00000000"
"001","EURX","ATS","GRD","81999898","1","1","","00000000"
"000","M","PHP","DEM","80009898","100","1","EURX","00000000"
"811","M","SGD","CAD","81999898","1","1","","00000000"
"000","M","JPY","GRD","79989898","100","1","EURX","00000000"
"812","M","GRD","USD","81999898","1000","1","","00000000"
"001","EURX","ATS","JPY","81999898","1","1","","00000000"
"000","M","PLN","DEM","80009898","100","1","EURX","00000000"
"811","M","SGD","DEM","81999898","1","1","","00000000"
"000","M","JPY","IEP","80009898","1","1","EURX","00000000"
"800","INT","DEM","ZAR","81999898","1","1","","00000000"
"800","G","USD","EUR","81999898","1","1","EURG","00000000"
"001","EURX","ATS","NOK","81999898","1","1","","00000000"
"812","M","HKD","EUR","81999898","100","1","","00000000"
"000","M","PTE","BEF","80009898","1","1","EURO","00000000"
"811","M","SGD","ESP","81999898","1","1","","00000000"
"001","EURX","ATS","SEK","81999898","1","1","","00000000"
"000","M","LUF","ATS","80009898","100","1","EURO","00000000"
"800","G","USD","FIM","81999898","1","1","","00000000"
"800","INT","DKK","DKK","81999898","1","1","","00000000"
"811","M","SGD","FFR","81999898","1","1","","00000000"
"001","EURX","BEF","CHF","81999898","100","1","","00000000"
"000","M","PTE","DEM","80009898","100","1","EURO","00000000"
"812","M","HRK","EUR","81999898","100","1","","00000000"
"000","M","LUF","CHF","80009898","100","1","EURX","00000000"
"800","G","USD","FRF","81999898","1","1","","00000000"
"001","EURX","BEF","DKK","81999898","1","1","","00000000"
"811","M","SGD","FRF","81999898","1","1","","00000000"
"000","M","LUF","DKK","80009898","1","1","EURX","00000000"
"000","M","PTE","ESP","80009898","1","1","EURO","00000000"
"812","M","HUF","DEM","81999898","1000","1","","00000000"
"800","INT","ECU","AUD","81999898","1","100","","00000000"
"001","EURX","BEF","GBP","81999898","1","1","","00000000"
"800","G","USD","ITL","81999898","1","1000","","00000000"
"811","M","SGD","GBP","81999898","1","1","","00000000"
"000","M","PTE","FIM","80009898","100","1","EURO","00000000"
"000","M","LUF","GBP","80009898","1","1","EURX","00000000"
"001","EURX","BEF","GRD","81999898","1","1","","00000000"
"812","M","HUF","EUR","81999898","1000","1","","00000000"
"800","INT","ECU","CAD","81999898","1","1","","00000000"
"811","M","SKK","CZK","81999898","1","1","","00000000"
"000","M","LUF","GRD","79989898","1","1","EURO","00000000"
"000","M","PTE","FRF","80009898","100","1","EURO","00000000"
"001","EURX","BEF","JPY","81999898","1","1","","00000000"
"800","G","USD","PTE","81999898","1","1","","00000000"
"812","M","HUF","JPY","81999898","100","1","","00000000"
"811","M","UNI","CAD","81999898","1","1","","00000000"
"800","INT","ECU","ECU","81999898","1","1","","00000000"
"001","EURX","BEF","NOK","81999898","1","1","","00000000"
"000","M","PTE","ITL","80009898","1","1","EURO","00000000"
"000","M","LUF","GRD","80009898","1","1","EURX","00000000"
"811","M","UNI","UNI","81999898","1","1","","00000000"
"800","G","ZAR","DEM","81999898","1","1","","00000000"
"812","M","HUF","USD","81999898","1000","1","","00000000"
"001","EURX","BEF","SEK","81999898","1","1","","00000000"
"000","M","PTE","LUF","80009898","1","1","EURO","00000000"
"000","M","LUF","IEP","80009898","1","1","EURO","00000000"
"800","INT","ECU","GBP","81999898","1","1","","00000000"
"811","M","USD","ARS","81999898","1","1","","00000000"
"800","G","ZAR","EUR","81999898","1","1","","00000000"
"001","EURX","CHF","ATS","81999898","1","1","","00000000"
"812","M","IDR","DEM","81999898","10000","1","","00000000"
"000","M","PTE","NLG","80009898","100","1","EURO","00000000"
"000","M","LUF","JPY","80009898","1","1","EURX","00000000"
"811","M","USD","ATS","81999898","1","1","","00000000"
"001","EURX","CHF","BEF","81999898","1","1","","00000000"
"800","INT","ESP","GBP","81999898","100","1","","00000000"
"000","M","PTE","USD","80009898","1","1","EURX","00000000"
"800","INT","ATS","ATS","81999898","1","1","","00000000"
"000","M","LUF","NOK","80009898","1","1","EURX","00000000"
"811","M","USD","AUD","81999898","1","1","","00000000"
"812","M","IDR","EUR","81999898","10000","1","","00000000"
"001","EURX","CHF","ESP","81999898","1","1","","00000000"
"000","M","ROL","DEM","80009898","10000","1","EURX","00000000"
"811","M","USD","BEF","81999898","1","1","","00000000"
"811","G","ITL","USD","81999898","1000","1","","00000000"
"001","EURX","CHF","FIM","81999898","1","1","","00000000"
"812","M","IDR","JPY","81999898","100","1","","00000000"
"800","INT","ATS","DEM","81999898","100","1","","00000000"
"800","INT","EUR","AUD","81999898","1","100","","00000000"
"000","M","LUF","SEK","80009898","1","1","EURX","00000000"
"000","M","RUB","DEM","80009898","100","1","EURX","00000000"
"811","M","USD","BRL","81999898","1","1","","00000000"
"001","EURX","CHF","GRD","81999898","1","1","","00000000"
"000","M","SAR","DEM","80009898","100","1","EURX","00000000"
"812","M","IDR","USD","81999898","10000","1","","00000000"
"000","M","NLG","ATS","80009898","1","1","EURO","00000000"
"811","M","USD","CAD","81999898","1","1","","00000000"
"800","INT","ATS","EUR","81999898","100","1","","00000000"
"001","EURX","CHF","IEP","81999898","1","1","","00000000"
"800","INT","EUR","BEF","81999898","1","100","","00000000"
"000","M","SEK","BEF","80009898","1","1","EURX","00000000"
"811","M","USD","CHF","81999898","1","1","","00000000"
"000","M","NLG","CHF","80009898","1","1","EURX","00000000"
"001","EURX","CHF","ITL","81999898","1","1","","00000000"
"000","M","SEK","DEM","80009898","100","1","EURX","00000000"
"800","INT","AUD","ATS","81999898","1","1","","00000000"
"812","M","IEP","ATS","81999898","1","1","","00000000"
"811","M","USD","CLP","81999898","1","1","","00000000"
"800","INT","EUR","CAD","81999898","1","1","","00000000"
"000","M","NLG","DKK","80009898","1","1","EURX","00000000"
"001","EURX","CHF","LUF","81999898","1","1","","00000000"
"000","M","SEK","ESP","80009898","1","1","EURX","00000000"
"811","M","USD","COP","81999898","1","1","","00000000"
"811","G","JPY","USD","81999898","100","1","","00000000"
"812","M","IEP","BEF","81999898","1","1","","00000000"
"001","EURX","CHF","NLG","81999898","1","1","","00000000"
"800","INT","AUD","DEM","81999898","100","1","","00000000"
"000","M","NLG","GBP","80009898","1","1","EURX","00000000"
"800","INT","EUR","CHF","81999898","1","100","","00000000"
"000","M","SEK","FIM","80009898","1","1","EURX","00000000"
"811","M","USD","CZK","81999898","1","1","","00000000"
"001","EURX","CHF","PTE","81999898","1","1","","00000000"
"812","M","IEP","CHF","81999898","1","1","","00000000"
"811","M","USD","DEM","81999898","1","1","","00000000"
"000","M","NLG","GRD","79989898","1","1","EURO","00000000"
"000","M","SEK","FRF","80009898","1","1","EURX","00000000"
"001","EURX","DEM","AED","81999898","1","1","","00000000"
"811","G","MXP","USD","81999898","1","1","","00000000"
"800","INT","EUR","CZK","81999898","1","1","","00000000"
"800","INT","AUD","ESP","81999898","1","1","","00000000"
"000","M","SEK","ITL","80009898","1","1","EURX","00000000"
"811","M","USD","DKK","81999898","1","1","","00000000"
"000","M","NLG","GRD","80009898","1","1","EURX","00000000"
"001","EURX","DEM","ARS","81999898","1","1","","00000000"
"812","M","IEP","DKK","81999898","1","1","","00000000"
"811","G","PTE","USD","81999898","1","1","","00000000"
"000","M","SEK","LUF","80009898","1","1","EURX","00000000"
"811","M","USD","ECU","81999898","1","1","","00000000"
"800","INT","AUD","EUR","81999898","100","1","","00000000"
"800","INT","EUR","DKK","81999898","1","1","","00000000"
"001","EURX","DEM","AUD","81999898","1","1","","00000000"
"000","M","NLG","IEP","80009898","1","1","EURO","00000000"
"812","M","IEP","ESP","81999898","1","1","","00000000"
"811","M","USD","ESP","81999898","1","1","","00000000"
"000","M","SEK","NLG","80009898","1","1","EURX","00000000"
"001","EURX","DEM","BGN","81999898","1","1","","00000000"
"811","G","RUB","USD","81999898","1","1","","00000000"
"000","M","NLG","JPY","80009898","1","1","EURX","00000000"
"800","INT","AUD","FRF","81999898","1","1","","00000000"
"811","M","USD","FFR","81999898","1","1","","00000000"
"800","INT","EUR","ECU","81999898","1","1","","00000000"
"000","M","SEK","PTE","80009898","1","1","EURX","00000000"
"001","EURX","DEM","BRL","81999898","1","1","","00000000"
"812","M","IEP","FIM","81999898","1","1","","00000000"
"000","M","NLG","NOK","80009898","1","1","EURX","00000000"
"811","G","RUR","USD","81999898","1","1","","00000000"
"811","M","USD","FIM","81999898","1","1","","00000000"
"001","EURX","DEM","CAD","81999898","1","1","","00000000"
"000","M","SGD","DEM","80009898","100","1","EURX","00000000"
"800","INT","AUD","ITL","81999898","1","10","","00000000"
"000","M","NLG","SEK","80009898","1","1","EURX","00000000"
"811","G","SEK","USD","81999898","1","1","","00000000"
"812","M","IEP","FRF","81999898","1","1","","00000000"
"811","M","USD","FRF","81999898","1","1","","00000000"
"800","INT","EUR","GBP","81999898","1","1","","00000000"
"001","EURX","DEM","CHF","81999898","1","1","","00000000"
"000","M","SIT","DEM","80009898","100","1","EURX","00000000"
"000","M","NOK","ATS","80009898","1","1","EURX","00000000"
"811","G","USD","USD","81999898","1","1","","00000000"
"800","INT","AUD","PTE","81999898","1","1","","00000000"
"811","M","USD","GBP","81999898","1","1","","00000000"
"001","EURX","DEM","CLP","81999898","1","1","","00000000"
"000","M","SKK","DEM","80009898","100","1","EURX","00000000"
"812","M","IEP","GBP","81999898","1","1","","00000000"
"800","INT","EUR","IEP","81999898","1","100","","00000000"
"811","G","ZAR","USD","81999898","1","1","","00000000"
"000","M","NOK","GRD","79989898","1","1","EURX","00000000"
"001","EURX","DEM","CNY","81999898","1","1","","00000000"
"811","M","USD","HRK","81999898","1","1","","00000000"
"000","M","THB","DEM","80009898","100","1","EURX","00000000"
"800","INT","BEF","DEM","81999898","100","1","","00000000"
"812","M","IEP","GRD","81999898","1","1","","00000000"
"811","INT","ATS","USD","81999898","100","1","","00000000"
"001","EURX","DEM","COP","81999898","1","1000","","00000000"
"000","M","NOK","IEP","80009898","1","1","EURX","00000000"
"811","M","USD","HUF","81999898","1","1","","00000000"
"800","INT","EUR","JPY","81999898","1","1","","00000000"
"000","M","TRL","DEM","80009898","1000000","1","EURX","00000000"
"811","INT","AUD","USD","81999898","100","1","","00000000"
"001","EURX","DEM","CYP","81999898","1","1","","00000000"
"000","M","PTE","ATS","80009898","100","1","EURO","00000000"
"811","M","USD","IEP","81999898","1","1","","00000000"
"812","M","IEP","ITL","81999898","1","1","","00000000"
"800","INT","BEF","EUR","81999898","100","1","","00000000"
"811","INT","BEF","USD","81999898","100","1","","00000000"
"001","EURX","DEM","CZK","81999898","1","1","","00000000"
"000","M","TWD","DEM","80009898","100","1","EURX","00000000"
"800","INT","EUR","LUF","81999898","1","100","","00000000"
"811","M","USD","ITL","81999898","1","1","","00000000"
"000","M","PTE","CHF","80009898","100","1","EURX","00000000"
"811","INT","CAD","USD","81999898","1","1","","00000000"
"000","M","UAH","DEM","80009898","100","1","EURX","00000000"
"811","M","USD","LIT","81999898","1","1","","00000000"
"812","M","IEP","LUF","81999898","1","1","","00000000"
"000","M","PTE","DKK","80009898","100","1","EURX","00000000"
"001","EURX","DEM","DKK","81999898","1","1","","00000000"
"800","INT","CAD","ATS","81999898","1","100","","00000000"
"800","INT","EUR","MXN","81999898","1","100","","00000000"
"811","INT","CHF","USD","81999898","100","1","","00000000"
"811","M","USD","LUF","81999898","1","1","","00000000"
"001","EURX","DEM","GBP","81999898","1","1","","00000000"
"000","M","USD","BEF","80009898","1","1","EURX","00000000"
"000","M","PTE","GBP","80009898","1","1","EURX","00000000"
"812","M","IEP","NLG","81999898","1","1","","00000000"
"811","INT","DEM","USD","81999898","1","1","","00000000"
"800","INT","CAD","DEM","81999898","1","1","","00000000"
"811","M","USD","MXN","81999898","1","1","","00000000"
"800","INT","EUR","NLG","81999898","1","1","","00000000"
"001","EURX","DEM","GRD","81999898","1","1","","00000000"
"000","M","USD","DEM","80009898","1","1","EURX","00000000"
"000","M","PTE","GRD","79989898","1","1","EURO","00000000"
"811","INT","ECU","USD","81999898","1","1","","00000000"
"811","M","USD","NLG","81999898","1","1","","00000000"
"812","M","IEP","NOK","81999898","1","1","","00000000"
"001","EURX","DEM","HKD","81999898","1","1","","00000000"
"000","M","USD","ESP","80009898","1","1","EURX","00000000"
"800","INT","CAD","ESP","81999898","1","100","","00000000"
"000","M","PTE","GRD","80009898","1","1","EURX","00000000"
"811","INT","ESP","USD","81999898","100","1","","00000000"
"800","INT","EUR","NOK","81999898","1","1","","00000000"
"811","M","USD","PEN","81999898","1","1","","00000000"
"001","EURX","DEM","HRK","81999898","1","1","","00000000"
"000","M","USD","FIM","80009898","1","1","EURX","00000000"
"000","M","PTE","IEP","80009898","1","1","EURO","00000000"
"812","M","IEP","PTE","81999898","1","1","","00000000"
"811","INT","EUR","USD","81999898","1","1","","00000000"
"811","M","USD","PLN","81999898","1","1","","00000000"
"800","INT","CAD","EUR","81999898","1","1","","00000000"
"001","EURX","DEM","HUF","81999898","1","1","","00000000"
"000","M","USD","FRF","80009898","1","1","EURX","00000000"
"800","INT","EUR","RUB","81999898","1","1","","00000000"
"811","M","USD","PTE","81999898","1","1","","00000000"
"000","M","PTE","JPY","80009898","100","1","EURX","00000000"
"811","INT","FRF","USD","81999898","100","1","","00000000"
"001","EURX","DEM","IDR","81999898","1","1000","","00000000"
"812","M","IEP","SEK","81999898","1","1","","00000000"
"800","INT","CAD","FRF","81999898","1","100","","00000000"
"000","M","USD","ITL","80009898","1","1","EURX","00000000"
"811","M","USD","RUB","81999898","1","1","","00000000"
"811","INT","GBP","USD","81999898","1","1","","00000000"
"000","M","PTE","NOK","80009898","100","1","EURX","00000000"
"800","INT","EUR","RUR","81999898","1","1","","00000000"
"001","EURX","DEM","ILS","81999898","1","1","","00000000"
"812","M","ILS","EUR","81999898","100","1","","00000000"
"000","M","USD","LUF","80009898","1","1","EURX","00000000"
"811","M","USD","SEK","81999898","1","1","","00000000"
"800","INT","CAD","ITL","81999898","1","1000","","00000000"
"811","INT","ITL","USD","81999898","1000","1","","00000000"
"000","M","PTE","SEK","80009898","100","1","EURX","00000000"
"001","EURX","DEM","INR","81999898","1","1","","00000000"
"000","M","USD","NLG","80009898","1","1","EURX","00000000"
"811","M","USD","SFR","81999898","1","1","","00000000"
"800","INT","EUR","SEK","81999898","1","1","","00000000"
"812","M","INR","DEM","81999898","100","1","","00000000"
"811","INT","JPY","USD","81999898","100","1","","00000000"
"001","EURX","DEM","JPY","81999898","1","1","","00000000"
"000","M","SEK","ATS","80009898","1","1","EURX","00000000"
"000","M","USD","PTE","80009898","1","1","EURX","00000000"
"811","M","USD","SIT","81999898","1","1","","00000000"
"800","INT","CAD","PTE","81999898","1","100","","00000000"
"811","INT","MXN","USD","81999898","100","1","","00000000"
"001","EURX","DEM","KRW","81999898","1","1","","00000000"
"812","M","INR","EUR","81999898","100","1","","00000000"
"811","M","USD","SKK","81999898","1","1","","00000000"
"000","M","SEK","GRD","79989898","1","1","EURX","00000000"
"000","M","VEB","DEM","80009898","100","1","EURX","00000000"
"800","INT","EUR","SGD","81999898","1","1","","00000000"
"800","INT","CHF","DEM","81999898","100","1","","00000000"
"001","EURX","DEM","MXN","81999898","1","1","","00000000"
"811","INT","PTE","USD","81999898","100","1","","00000000"
"811","M","USD","UNI","81999898","1","1","","00000000"
"000","M","VEB","EUR","80009898","1","1","EURX","00000000"
"812","M","INR","USD","81999898","100","1","","00000000"
"000","M","SEK","IEP","80009898","1","1","EURX","00000000"
"001","EURX","DEM","MYR","81999898","1","1","","00000000"
"800","INT","CHF","EUR","81999898","100","1","","00000000"
"800","INT","EUR","ZAR","81999898","1","1","","00000000"
"811","M","USD","VEB","81999898","1","1","","00000000"
"811","INT","RUB","USD","81999898","1","1","","00000000"
"000","M","ZAR","DEM","80009898","1","1","EURX","00000000"
"000","M","USD","ATS","80009898","1","1","EURX","00000000"
"001","EURX","DEM","NOK","81999898","1","1","","00000000"
"812","M","ITL","ATS","81999898","1000","1","","00000000"
"811","M","USD","ZAR","81999898","1","1","","00000000"
"811","INT","RUR","USD","81999898","1","1","","00000000"
"800","INT","CHF","FRF","81999898","1","1","","00000000"
"000","M","USD","GRD","79989898","1","1","EURX","00000000"
"001","EURX","DEM","NZD","81999898","1","1","","00000000"
"000","M","ZAR","EUR","80009898","1","1","EURX","00000000"
"800","INT","FIM","SEK","81999898","1","1","","00000000"
"812","M","ITL","BEF","81999898","1000","1","","00000000"
"811","M","VEB","CLP","81999898","1","1","","00000000"
"811","INT","SEK","USD","81999898","1","1","","00000000"
"001","EURX","DEM","PEN","81999898","1","1","","00000000"
